name;description;weight;image;local_price;international_price;stock;is_active
Alting Serolok;tembakau rasa mantab;100;;20000;10000;10;true
Alting Becak;;;;25000;;10;true
Alting Kayu;tembakau untuk orang tua;200;;15000;12000;10;true
Alting Tangan Queen Bee;tembakau untuk anak muda;278;;8000;14000;10;true
Alting Rollbox Gizeh;tembakau untuk pria karir;376;;;16000;10;true
Alting Rollbox Mascotte;;;;;;10;true
Alting Zig-Zag;;;;;;10;true
Alting Electric Lida;;;;140000;;10;true
Alting Cigarette Machine;;;;15000;;10;true
Selongsong;;;;20000;;10;true
Lem;;;;3000;;10;true
Korek M 2000;;;;4000;;10;true
Korek Tokai;;;;3000;;10;true
Kotak Rokok Plastik Polos;;;;20000;;10;true
Kotak Rokok Plastik Motif;;;;;;10;true
Kotak Rokok Dompet;;;;25000;;10;true
Kotak Rokok Kaleng;;;;25000;;10;true
Busa Reguler Premium;;;;225000;;10;true
Busa Mild Premium;;;;256000;;10;true
Busa Mild Tebal;;;;112000;;10;true
Busa Bold Premium;;;;167800;;10;true
Busa Reguler Super;;;;161200;;10;true
Busa Mild Bolong;;;;85000;;10;true
Busa Reguler Bolong Non Skin;;;;70000;;10;true
Busa Reguler Kw;;;;106000;;10;true
Busa Double Klik Apel & Blackcurrent;;;;235000;;10;true
Rokok Bintang Samudra;;;;8000;;10;true
Rokok Rasa Wahyu;;;;10000;;10;true
Rokok Rotama Herbal;;;;15000;;10;true
Rokok Rotama Extra;;;;10000;;10;true
Rokok Rotama Spr;;;;10000;;10;true
Rokok Rotama Mantap Merah;;;;15000;;10;true
Rokok Rotama Mantap Coklat;;;;15000;;10;true
Rokok Rotama Master;;;;15000;;10;true
Rokok Rave Star;;;;12000;;10;true
Rokok Jumbo Coklat;;;;15000;;10;true
Rokok Jumbo Exclusive;;;;15000;;10;true
Papir Burung Hantu;;;;19500;;10;true
Papir Kujang;;;;28000;;10;true
Papir 74;;;;36000;;10;true
Papir Sw;;;;50000;;10;true
Papir Buffalo;;;;40000;;10;true
Papir Naraya;;;;37000;;10;true
OKJ Mild;;;;14500;;10;true
OKJ Mild Menthol;;;;14500;;10;true
OKJ Clas;;;;14500;;10;true
OKJ LA;;;;14500;;10;true
OKJ Dunhill;;;;14500;;10;true
OKJ Magnum;;;;14500;;10;true
OKJ Super;;;;17000;;10;true
OKJ Surya;;;;17000;;10;true
OKJ GF;;;;17000;;10;true
OKJ Signature;;;;17000;;10;true
OKJ Exclusive;;;;17000;;10;true
OKJ 99 Merah;;;;13000;;10;true
OKJ Wismilak;;;;13000;;10;true
OKJ Samsu;;;;13000;;10;true
OKJ Refill;;;;16000;;10;true
OKJ Pop Esse;;;;15000;;10;true
OKJ Marlboro Manis;;;;14500;;10;true
OKJ Marlboro Tawar;;;;14000;;10;true
OKJ Blank;;;;16500;;10;true
Cerutu Borobudur Coffee;;;;10000;;10;true
Cerutu Borobudur Vanilla;;;;;;10;true
Cerutu Borobudur Mint;;;;;;10;true
Cerutu Borobudur Apel ;;;;;;10;true
Cerutu Negreso Fruity;;;;22000;;10;true
Cerutu Negreso Original;;;;;;10;true
Cerutu Mundivictor Rum;;;;25000;;10;true
Cerutu Ramayana Besar;;;;62000;;10;true
Cerutu Ramayana Kecil;;;;30000;;10;true
Cerutu Senator Royal;;;;59000;;10;true
Cerutu Adipati Besar;;;;55800;;10;true
Cerutu Adipati Kecil;;;;57800;;10;true
Cengkeh Menjangan;;;;;;10;true
Cengkeh Kliting;;;;;;10;true
Cengkeh 55;;;;;;10;true
Cengkeh Loten;;;;;;10;true
